customer_id,visit_freq,avg_basket,last_coupon_days,reward_points
CUST_00057,10,7.79,51,1101
CUST_00058,4,47.32,14,1388
CUST_00059,14,43.64,41,1037
CUST_00060,16,24.65,23,135
CUST_00061,15,43.52,25,1327
CUST_00062,8,79.72,60,396
CUST_00063,14,57.39,25,791
CUST_00064,8,11.47,45,78
CUST_00065,16,37.21,25,1778
CUST_00066,13,19.88,57,704
CUST_00067,18,30.31,9,981
CUST_00068,15,29.66,16,1441
CUST_00069,13,28.06,52,1265
CUST_00070,9,8.62,13,1074
CUST_00071,15,36.81,1,743
CUST_00072,13,25.98,47,1794
CUST_00073,1,5.0,12,383
CUST_00074,7,91.32,26,374
CUST_00075,9,67.22,8,1753
CUST_00076,1,30.59,6,205
CUST_00077,12,40.47,47,1849
CUST_00078,8,10.71,9,488
CUST_00079,11,82.39,55,1404
CUST_00080,19,87.43,53,1991
CUST_00081,17,43.92,8,880
CUST_00082,8,65.59,21,1334
CUST_00083,3,44.38,22,1398
CUST_00084,3,6.58,6,631
CUST_00085,1,29.7,47,591
CUST_00086,5,43.3,8,1065
CUST_00087,10,28.64,26,532
CUST_00088,7,34.53,23,521
CUST_00089,9,37.72,28,824
CUST_00090,7,37.98,16,1176
CUST_00091,9,41.31,19,1335
CUST_00092,8,13.48,6,1317
CUST_00093,12,22.07,42,597
CUST_00094,2,7.89,39,112
CUST_00095,1,64.45,6,1724
CUST_00096,16,5.0,27,1135
CUST_00097,5,68.84,18,1198
CUST_00098,3,74.66,19,1845
CUST_00099,12,32.45,43,1325
CUST_00100,8,5.0,38,1987
CUST_00101,3,30.97,39,1539
CUST_00102,1,38.4,6,733
CUST_00103,3,14.74,5,1985
CUST_00104,5,27.12,24,1244
CUST_00105,15,78.25,40,1194
CUST_00106,14,56.62,58,317
CUST_00107,3,16.89,12,995
CUST_00108,1,5.0,38,212
CUST_00109,5,31.82,39,252
CUST_00110,14,34.66,21,123
CUST_00111,7,52.4,48,1663
CUST_00112,9,26.62,16,1236
CUST_00113,15,52.79,47,623
CUST_00114,15,88.38,21,1108
CUST_00115,10,60.39,33,1539
CUST_00116,13,38.8,7,1088
CUST_00117,19,35.42,48,1341
CUST_00118,7,31.08,44,1369
CUST_00119,17,69.52,17,1655
CUST_00120,4,24.32,23,1266
CUST_00121,5,41.13,59,897
CUST_00122,7,41.28,53,1160
CUST_00123,13,27.46,59,246
CUST_00124,15,5.69,41,440
CUST_00125,11,48.07,1,44
CUST_00126,4,38.47,1,657
CUST_00127,13,52.51,26,879
CUST_00128,7,26.66,13,1711
CUST_00129,19,70.52,47,1016
CUST_00130,2,18.08,38,553
CUST_00131,10,82.8,52,808
CUST_00132,13,5.0,52,970
CUST_00133,6,50.87,55,1112
CUST_00134,12,51.89,11,729
CUST_00135,12,20.11,31,1020
CUST_00136,11,50.61,27,953
CUST_00137,7,71.99,54,1251
CUST_00138,1,5.0,27,1833
CUST_00139,1,52.57,45,1314
CUST_00140,13,5.0,24,1445
CUST_00141,9,15.86,3,1090
CUST_00142,3,80.73,25,1274
CUST_00143,7,25.46,35,1064
CUST_00144,6,10.65,49,98
CUST_00145,8,35.05,2,1329
CUST_00146,9,91.7,0,871
CUST_00147,5,5.0,16,1877
CUST_00148,1,13.72,6,1479
CUST_00149,19,77.44,47,1614
CUST_00150,10,86.44,4,300
CUST_00151,12,37.41,18,1222
CUST_00152,15,9.02,38,1682
CUST_00153,9,92.4,45,487
CUST_00154,17,79.86,33,1129
CUST_00155,17,56.97,34,1424
CUST_00156,12,19.69,48,1728
CUST_00157,7,38.77,15,1004
CUST_00158,2,35.99,39,476
CUST_00159,3,48.27,49,1145
CUST_00160,17,76.28,46,1100
CUST_00161,5,61.99,38,1335
CUST_00162,17,13.07,26,1135
CUST_00163,17,74.41,40,860
CUST_00164,17,47.83,37,808
CUST_00165,2,57.18,49,1705
CUST_00166,2,76.66,49,517
CUST_00167,5,12.21,24,1220
CUST_00168,1,39.1,25,1121
CUST_00169,1,26.71,55,458
CUST_00170,19,5.0,13,1864
CUST_00171,2,48.67,13,229
CUST_00172,12,102.79,13,1191
CUST_00173,6,5.0,24,1832
CUST_00174,4,39.19,35,1800
CUST_00175,11,56.01,3,7
CUST_00176,17,43.08,46,1195
CUST_00177,6,37.17,14,1977
CUST_00178,5,7.52,31,1383
CUST_00179,2,45.82,17,194
CUST_00180,6,21.08,13,1292
CUST_00181,11,5.0,57,1042
CUST_00182,16,69.86,0,353
CUST_00183,16,63.96,41,1887
CUST_00184,1,41.29,60,1072
CUST_00185,9,45.73,19,463
CUST_00186,6,66.86,9,355
CUST_00187,16,45.61,9,849
CUST_00188,3,62.6,58,973
CUST_00189,4,32.56,23,1181
CUST_00190,19,72.8,33,65
CUST_00191,3,48.02,60,1996
CUST_00192,19,44.85,27,858
CUST_00193,7,8.25,26,570
CUST_00194,9,47.17,39,1844
CUST_00195,1,19.2,0,307
CUST_00196,8,24.04,32,1360
CUST_00197,7,19.62,3,1694
CUST_00198,18,13.34,6,782
CUST_00199,8,93.12,8,120
CUST_00200,1,73.28,15,765
CUST_00201,11,88.01,4,1427
CUST_00202,18,9.43,33,772
CUST_00203,10,41.78,59,1670
CUST_00204,3,7.66,22,1809
CUST_00205,7,22.61,42,1591
CUST_00206,16,17.05,49,1866
CUST_00207,16,70.99,24,95
CUST_00208,17,30.09,56,1137
CUST_00209,2,66.71,50,986
CUST_00210,1,55.1,12,1892
CUST_00211,16,97.59,23,1452
CUST_00212,12,5.0,10,539
CUST_00213,5,71.48,51,1841
CUST_00214,5,68.66,50,1
CUST_00215,9,15.67,16,1235
CUST_00216,9,65.18,36,579
CUST_00217,3,48.4,12,1663
CUST_00218,19,34.31,26,332
CUST_00219,16,19.4,19,1047
CUST_00220,16,22.02,32,1788
CUST_00221,3,91.25,41,1391
CUST_00222,1,40.02,31,741
CUST_00223,11,59.55,7,505
CUST_00224,17,20.23,55,999
CUST_00225,8,20.5,28,1199
CUST_00226,4,67.05,39,1452
CUST_00227,6,6.26,18,1910
CUST_00228,8,29.62,5,732
CUST_00229,3,40.85,43,1465
CUST_00230,16,42.78,59,1571
CUST_00231,3,35.52,38,513
CUST_00232,18,49.9,47,894
CUST_00233,14,57.32,40,360
CUST_00234,18,58.37,20,273
CUST_00235,2,15.35,56,176
CUST_00236,3,32.9,21,1287
CUST_00237,16,69.87,41,1209
CUST_00238,9,62.37,9,526
CUST_00239,4,5.68,9,912
CUST_00240,1,48.79,51,278
CUST_00241,4,5.0,28,705
CUST_00242,1,41.17,15,1221
CUST_00243,14,87.44,0,1372
CUST_00244,16,16.3,16,1946
CUST_00245,8,19.14,29,1444
CUST_00246,7,59.1,25,1328
CUST_00247,3,5.0,52,63
CUST_00248,17,24.18,60,289
CUST_00249,1,54.91,45,17
CUST_00250,16,24.14,18,63
CUST_00251,12,34.1,52,1897
CUST_00252,19,58.6,20,329
CUST_00253,14,50.54,16,1893
CUST_00254,6,46.67,45,762
CUST_00255,6,31.52,39,1963
CUST_00256,13,49.25,20,1040
CUST_00257,19,36.91,52,442
CUST_00258,8,51.45,40,140
CUST_00259,2,27.58,39,1331
CUST_00260,1,35.44,44,443
CUST_00261,15,15.25,48,495
CUST_00262,1,39.12,18,425
CUST_00263,5,19.72,59,1498
CUST_00264,16,12.15,6,1855
CUST_00265,19,46.47,16,1268
CUST_00266,4,45.32,0,449
CUST_00267,3,59.57,36,1825
CUST_00268,17,29.22,56,350
CUST_00269,17,50.2,5,598
CUST_00270,12,53.77,25,710
CUST_00271,14,51.12,1,869
CUST_00272,6,19.36,58,1983
CUST_00273,3,43.73,31,1184
CUST_00274,9,49.1,56,1163
CUST_00275,5,40.18,47,1516
CUST_00276,17,5.0,53,1611
CUST_00277,14,44.01,4,1554
CUST_00278,3,95.31,36,392
CUST_00279,1,31.0,30,841
CUST_00280,1,21.8,11,400
CUST_00281,3,49.33,34,49
CUST_00282,18,47.81,29,743
CUST_00283,10,69.82,47,1318
CUST_00284,3,8.55,5,1448
CUST_00285,8,58.28,14,905
CUST_00286,14,54.76,14,1035
CUST_00287,18,36.45,60,1358
CUST_00288,15,48.47,15,990
CUST_00289,2,65.74,19,1038
CUST_00290,10,61.81,12,27
CUST_00291,2,11.42,43,387
CUST_00292,17,60.5,41,1315
CUST_00293,8,38.38,45,1910
CUST_00294,1,41.82,30,832
CUST_00295,9,41.83,33,249
CUST_00296,11,36.24,28,1528
CUST_00297,16,69.79,2,97
CUST_00298,7,37.91,8,1838
CUST_00299,10,12.01,10,1360
CUST_00300,3,30.16,10,1062
CUST_00301,18,44.47,24,1061
CUST_00302,13,70.73,21,1323
CUST_00303,7,55.08,41,178
CUST_00304,4,18.74,57,1632
CUST_00305,13,102.13,45,891
CUST_00306,1,46.62,8,1492
CUST_00307,8,71.88,19,1305
CUST_00308,14,36.21,58,749
CUST_00309,16,53.33,20,1187
CUST_00310,14,60.99,9,452
CUST_00311,12,70.45,21,96
CUST_00312,19,66.43,28,1792
CUST_00313,15,61.8,8,308
CUST_00314,2,32.12,60,261
CUST_00315,2,25.71,4,292
CUST_00316,19,48.32,39,1793
CUST_00317,17,63.33,10,248
CUST_00318,10,34.43,0,244
CUST_00319,6,66.63,52,250
CUST_00320,15,76.32,41,122
CUST_00321,11,17.09,0,324
CUST_00322,5,19.08,57,985
CUST_00323,1,36.49,53,1704
CUST_00324,8,47.69,38,1970
CUST_00325,12,26.89,59,500
CUST_00326,12,73.81,45,686
CUST_00327,5,50.6,4,1804
CUST_00328,7,40.99,48,1739
CUST_00329,4,5.0,21,1860
CUST_00330,6,7.1,25,1089
CUST_00331,13,47.03,52,1850
CUST_00332,15,5.0,5,835
CUST_00333,3,65.32,31,58
CUST_00334,8,36.05,47,730
CUST_00335,16,121.08,10,1521
CUST_00336,13,97.7,9,1396
CUST_00337,18,35.46,46,265
CUST_00338,10,37.34,38,1676
CUST_00339,19,64.89,54,235
CUST_00340,17,82.58,33,897
CUST_00341,19,5.0,30,217
CUST_00342,5,5.0,11,1550
CUST_00343,9,24.45,50,1837
CUST_00344,12,54.57,43,1464
CUST_00345,1,52.42,15,1673
CUST_00346,1,66.74,37,1429
CUST_00347,15,10.01,2,1767
CUST_00348,2,5.0,1,1624
CUST_00349,16,61.45,51,974
CUST_00350,8,19.3,4,588
CUST_00351,13,5.0,10,1671
CUST_00352,1,43.63,57,916
CUST_00353,16,59.83,24,1492
CUST_00354,7,36.95,34,917
CUST_00355,5,28.55,34,1133
CUST_00356,3,36.02,21,352
CUST_00357,12,30.74,36,1836
CUST_00358,16,6.3,21,90
CUST_00359,19,22.13,54,1959
CUST_00360,5,53.03,10,1905
CUST_00361,14,48.04,31,1941
CUST_00362,5,44.2,34,1437
CUST_00363,15,15.12,30,701
CUST_00364,17,35.46,44,72
CUST_00365,14,5.0,52,684
CUST_00366,5,44.46,7,1570
CUST_00367,12,75.72,19,721
CUST_00368,16,5.0,41,1321
CUST_00369,16,25.35,33,1668
CUST_00370,7,48.23,3,1306
CUST_00371,4,71.32,17,1528
CUST_00372,1,28.79,50,1221
CUST_00373,5,22.69,3,957
CUST_00374,10,5.0,19,1055
CUST_00375,5,42.59,57,647
CUST_00376,4,91.05,8,759
CUST_00377,2,46.93,15,870
CUST_00378,10,39.44,25,1364
CUST_00379,19,48.05,37,1681
CUST_00380,1,39.72,24,1357
CUST_00381,5,19.67,3,142
CUST_00382,13,60.58,40,1769
CUST_00383,4,45.64,58,1433
CUST_00384,16,40.44,44,948
CUST_00385,16,15.62,40,43
CUST_00386,2,72.59,37,31
CUST_00387,17,56.62,52,1766
CUST_00388,12,26.18,18,27
CUST_00389,18,65.05,13,1019
CUST_00390,3,27.56,20,422
CUST_00391,1,20.45,14,490
CUST_00392,1,21.01,2,159
CUST_00393,19,5.0,36,844
CUST_00394,11,51.79,52,1230
CUST_00395,5,5.0,49,17
CUST_00396,12,9.29,45,1126
CUST_00397,3,5.0,15,1605
CUST_00398,1,37.85,13,1654
CUST_00399,1,36.24,8,1674
CUST_00400,8,31.83,46,671
CUST_00401,10,13.94,6,231
CUST_00402,11,10.69,13,1683
CUST_00403,12,51.61,5,1888
CUST_00404,13,26.24,20,423
CUST_00405,12,47.91,14,903
CUST_00406,14,17.87,51,754
CUST_00407,2,44.53,7,1570
CUST_00408,19,72.58,33,836
CUST_00409,18,54.65,39,893
CUST_00410,3,29.69,0,1890
CUST_00411,17,46.43,31,238
CUST_00412,8,33.98,57,1357
CUST_00413,10,40.2,48,148
CUST_00414,2,31.86,50,622
CUST_00415,19,35.89,4,1431
CUST_00416,9,45.3,29,16
CUST_00417,7,15.17,21,913
CUST_00418,4,14.6,19,225
CUST_00419,18,5.29,15,651
CUST_00420,13,5.0,6,1679
CUST_00421,11,9.57,6,259
CUST_00422,4,43.99,49,1752
CUST_00423,4,17.68,49,673
CUST_00424,10,52.84,1,1627
CUST_00425,5,40.87,46,173
CUST_00426,9,5.0,13,1866
CUST_00427,3,56.37,30,204
CUST_00428,17,60.27,49,414
CUST_00429,3,15.15,60,1531
CUST_00430,16,50.5,40,1176
CUST_00431,4,18.59,13,1126
CUST_00432,18,42.44,4,1737
CUST_00433,17,8.39,10,791
CUST_00434,7,5.0,39,1088
CUST_00435,5,30.43,4,1140
CUST_00436,12,36.91,28,1688
CUST_00437,17,30.06,10,1179
CUST_00438,13,10.4,4,1699
CUST_00439,3,30.0,48,1105
CUST_00440,9,46.73,53,517
CUST_00441,17,38.88,31,1857
CUST_00442,17,44.56,35,1090
CUST_00443,16,23.25,14,1261
CUST_00444,13,69.29,18,1607
CUST_00445,19,10.6,21,1630
CUST_00446,17,52.19,33,1839
CUST_00447,4,69.55,55,978
CUST_00448,12,52.02,16,1009
CUST_00449,9,34.94,11,1349
CUST_00450,19,26.79,24,589
CUST_00451,12,65.9,55,66
CUST_00452,9,5.0,16,1199
CUST_00453,7,15.75,9,1856
CUST_00454,14,30.06,27,683
CUST_00455,19,70.94,56,1501
CUST_00456,15,49.49,17,1278
CUST_00457,16,15.8,50,62
CUST_00458,5,32.24,17,813
CUST_00459,3,24.64,44,402
CUST_00460,12,22.26,31,1781
CUST_00461,4,64.47,13,191
CUST_00462,16,5.71,55,1352
CUST_00463,7,80.22,15,70
CUST_00464,13,60.71,49,877
CUST_00465,10,67.27,57,740
CUST_00466,7,28.43,17,945
CUST_00467,14,36.25,15,1086
CUST_00468,5,5.0,16,1320
CUST_00469,3,26.88,6,244
CUST_00470,11,52.34,11,518
CUST_00471,11,72.4,33,392
CUST_00472,18,12.32,9,771
CUST_00473,15,30.86,4,1624
CUST_00474,12,36.22,20,1200
CUST_00475,9,5.11,2,1227
CUST_00476,10,54.78,18,1669
CUST_00477,12,21.9,44,1617
CUST_00478,17,35.12,43,1556
CUST_00479,6,28.7,34,910
CUST_00480,7,20.27,5,1151
CUST_00481,14,39.82,13,1218
CUST_00482,13,34.61,3,1217
CUST_00483,8,30.7,44,183
CUST_00484,10,21.79,50,246
CUST_00485,9,47.99,17,1896
CUST_00486,18,81.34,28,1895
CUST_00487,2,43.5,34,323
CUST_00488,5,64.9,51,159
CUST_00489,5,5.24,37,705
CUST_00490,6,43.94,15,621
CUST_00491,19,12.57,19,924
CUST_00492,8,5.0,23,65
CUST_00493,16,21.52,34,929
CUST_00494,13,69.8,43,253
CUST_00495,1,63.75,50,282
CUST_00496,17,46.08,18,1083
CUST_00497,7,5.0,55,117
CUST_00498,13,35.09,3,422
CUST_00499,4,47.54,32,555
CUST_00500,4,44.39,1,1745
CUST_00501,6,5.0,12,35
CUST_00502,19,17.74,57,530
CUST_00503,12,38.4,60,90
CUST_00504,7,53.41,44,1324
CUST_00505,10,5.0,29,1747
CUST_00506,19,35.95,33,1940
CUST_00507,7,43.58,29,1942
CUST_00508,3,61.24,50,1757
CUST_00509,13,57.32,53,1240
CUST_00510,13,54.56,23,1758
CUST_00511,18,20.0,47,1946
CUST_00512,8,5.0,43,97
CUST_00513,9,30.17,32,1479
CUST_00514,7,65.04,40,530
CUST_00515,1,74.84,48,1832
CUST_00516,3,57.76,9,537
CUST_00517,13,50.73,17,1051
CUST_00518,17,49.49,18,1599
CUST_00519,1,26.1,6,1347
CUST_00520,6,36.75,56,1246
CUST_00521,6,81.73,18,79
CUST_00522,12,16.44,23,562
CUST_00523,13,80.37,14,1481
CUST_00524,13,31.95,40,613
CUST_00525,15,73.14,41,175
CUST_00526,16,5.0,22,521
CUST_00527,11,54.65,51,1772
CUST_00528,5,21.58,51,1480
CUST_00529,4,5.0,3,422
CUST_00530,3,45.46,37,1123
CUST_00531,19,65.24,3,1913
CUST_00532,18,18.88,4,1763
CUST_00533,15,5.0,40,1426
CUST_00534,9,37.7,43,575
CUST_00535,17,37.81,22,1403
CUST_00536,14,53.71,39,530
CUST_00537,15,63.74,52,331
CUST_00538,1,38.51,36,1341
CUST_00539,3,86.39,60,652
CUST_00540,16,45.61,10,1560
CUST_00541,11,31.34,54,739
CUST_00542,12,5.0,10,1112
CUST_00543,10,33.43,12,1627
CUST_00544,16,31.59,13,510
CUST_00545,8,64.01,59,41
CUST_00546,6,51.56,7,884
CUST_00547,12,10.52,24,1830
CUST_00548,8,44.31,17,1949
CUST_00549,4,56.79,50,1412
CUST_00550,8,78.2,43,80
CUST_00551,18,62.19,43,401
CUST_00552,5,59.02,17,106
CUST_00553,9,41.5,9,1134
CUST_00554,4,49.71,6,1300
CUST_00555,17,71.24,59,1237
CUST_00556,9,6.68,49,1766
CUST_00557,1,31.26,43,1841
CUST_00558,13,20.69,13,505
CUST_00559,16,49.48,14,1144
CUST_00560,13,70.76,15,1157
CUST_00561,14,25.08,1,1841
CUST_00562,3,5.0,29,719
CUST_00563,6,29.69,29,1985
CUST_00564,18,62.84,17,1394
CUST_00565,19,53.44,30,256
CUST_00566,5,50.7,43,1720
CUST_00567,15,33.0,47,1821
CUST_00568,2,8.02,12,953
CUST_00569,10,52.88,19,1898
CUST_00570,18,19.14,48,1203
CUST_00571,13,94.6,49,932
CUST_00572,5,54.26,34,1071
CUST_00573,1,25.48,22,1622
CUST_00574,1,24.72,41,896
CUST_00575,18,37.68,32,18
CUST_00576,15,34.01,37,1069
CUST_00577,17,67.92,34,450
CUST_00578,11,44.66,50,897
CUST_00579,17,21.71,35,1079
CUST_00580,13,87.26,60,740
CUST_00581,1,41.23,19,1680
CUST_00582,2,59.22,54,1115
CUST_00583,9,24.79,2,81
CUST_00584,3,49.08,7,736
CUST_00585,1,47.78,39,78
CUST_00586,16,5.0,58,1685
CUST_00587,6,90.38,31,1896
CUST_00588,17,72.27,28,282
CUST_00589,5,30.07,6,1334
CUST_00590,5,12.44,1,996
CUST_00591,6,48.69,20,159
CUST_00592,3,42.17,5,1339
CUST_00593,5,48.89,27,1900
CUST_00594,5,44.79,47,1691
CUST_00595,10,52.66,41,1179
CUST_00596,10,76.18,35,887
CUST_00597,19,54.2,31,1737
CUST_00598,17,13.76,44,467
CUST_00599,14,74.06,41,1944
CUST_00600,9,81.02,52,852
CUST_00601,14,118.8,45,461
CUST_00602,1,11.91,8,853
CUST_00603,19,46.07,10,116
CUST_00604,13,5.0,22,1689
CUST_00605,13,53.83,49,363
CUST_00606,4,26.29,10,1866
CUST_00607,1,88.09,48,1654
CUST_00608,17,20.63,1,1734
CUST_00609,8,5.0,2,1936
CUST_00610,2,28.22,10,465
CUST_00611,8,5.0,49,1798
CUST_00612,7,58.78,58,183
CUST_00613,2,5.0,34,1983
CUST_00614,3,40.71,57,659
CUST_00615,18,5.0,14,1189
CUST_00616,12,31.99,42,74
CUST_00617,1,81.08,10,1771
CUST_00618,12,49.02,30,825
CUST_00619,5,18.41,27,1295
CUST_00620,17,39.22,27,1714
CUST_00621,16,40.45,31,502
CUST_00622,15,51.82,24,794
CUST_00623,15,5.83,19,1586
CUST_00624,5,54.81,27,586
CUST_00625,14,5.0,24,655
CUST_00626,2,24.25,10,1366
CUST_00627,11,27.79,18,699
CUST_00628,19,55.83,27,634
CUST_00629,7,40.57,0,843
CUST_00630,6,5.0,58,1274
CUST_00631,2,15.38,4,1831
CUST_00632,6,44.97,9,834
CUST_00633,18,38.02,41,1153
CUST_00634,2,25.52,45,763
CUST_00635,18,27.98,33,357
CUST_00636,15,57.4,35,1967
CUST_00637,19,27.06,1,691
CUST_00638,2,37.8,17,1431
CUST_00639,6,94.25,12,1884
CUST_00640,1,5.0,50,1518
CUST_00641,15,5.0,4,621
CUST_00642,10,59.59,19,481
CUST_00643,19,23.03,1,979
CUST_00644,17,32.04,10,1873
CUST_00645,5,20.47,29,1101
CUST_00646,4,33.5,31,977
CUST_00647,10,79.96,31,1537
CUST_00648,17,60.05,57,1344
CUST_00649,10,61.56,49,1811
CUST_00650,17,5.0,37,289
CUST_00651,5,11.22,54,1320
CUST_00652,2,5.0,27,1704
CUST_00653,6,19.77,9,751
CUST_00654,2,63.92,21,1994
CUST_00655,13,52.92,54,1498
CUST_00656,11,34.46,16,22
CUST_00657,11,39.44,21,805
CUST_00658,16,22.78,42,171
CUST_00659,11,45.12,18,834
CUST_00660,19,59.15,16,317
CUST_00661,15,5.0,23,907
CUST_00662,16,47.49,35,797
CUST_00663,11,63.31,31,990
CUST_00664,16,29.62,57,854
CUST_00665,8,57.52,55,1216
CUST_00666,4,110.37,57,680
CUST_00667,8,37.39,45,915
CUST_00668,4,49.83,58,1141
CUST_00669,3,21.55,51,1029
CUST_00670,3,44.53,35,842
CUST_00671,18,51.51,27,482
CUST_00672,19,44.87,13,131
CUST_00673,19,14.51,57,1116
CUST_00674,5,45.16,35,1786
CUST_00675,18,76.55,5,1545
CUST_00676,10,51.22,8,1586
CUST_00677,6,64.05,20,860
CUST_00678,1,34.07,11,293
CUST_00679,5,58.75,60,640
CUST_00680,9,46.98,57,999
CUST_00681,12,16.23,29,391
CUST_00682,14,47.96,30,248
CUST_00683,2,15.21,39,1637
CUST_00684,17,24.18,55,1872
CUST_00685,14,44.73,3,1618
CUST_00686,13,47.43,30,702
CUST_00687,9,10.27,26,1440
CUST_00688,15,66.35,57,1166
CUST_00689,15,54.3,56,1260
CUST_00690,11,22.38,24,286
CUST_00691,16,5.0,4,276
CUST_00692,17,36.38,5,386
CUST_00693,4,28.85,4,1405
CUST_00694,1,42.83,50,449
CUST_00695,8,30.92,26,290
CUST_00696,17,5.0,7,1192
CUST_00697,3,30.29,8,442
CUST_00698,15,32.36,14,655
CUST_00699,15,55.84,35,1207
CUST_00700,14,22.55,56,1068
CUST_00701,14,81.97,40,1778
CUST_00702,2,5.0,6,826
CUST_00703,13,72.78,31,1969
CUST_00704,14,34.39,7,1291
CUST_00705,19,61.49,46,475
CUST_00706,7,42.0,50,252
CUST_00707,3,68.49,14,1419
CUST_00708,15,30.32,36,288
CUST_00709,14,12.53,18,1235
CUST_00710,11,75.51,38,999
CUST_00711,15,37.16,5,1712
CUST_00712,13,45.54,58,20
CUST_00713,18,70.87,18,315
CUST_00714,6,14.2,56,563
CUST_00715,3,54.89,27,1461
CUST_00716,19,25.25,16,1446
CUST_00717,15,36.7,41,1256
CUST_00718,5,41.81,18,1968
CUST_00719,10,5.0,30,122
CUST_00720,7,20.53,10,873
CUST_00721,17,73.78,14,959
CUST_00722,7,62.15,9,1635
CUST_00723,12,38.43,42,213
CUST_00724,17,46.08,22,1945
CUST_00725,13,32.64,2,838
CUST_00726,4,73.91,2,646
CUST_00727,10,34.99,17,967
CUST_00728,3,45.8,24,1853
CUST_00729,9,68.65,42,729
CUST_00730,13,20.57,19,599
CUST_00731,18,78.97,57,791
CUST_00732,15,5.0,28,39
CUST_00733,4,80.74,21,751
CUST_00734,15,30.68,49,1355
CUST_00735,2,33.93,56,942
CUST_00736,15,5.0,14,647
CUST_00737,8,28.63,38,181
CUST_00738,8,14.0,9,264
CUST_00739,17,24.81,20,770
CUST_00740,12,36.57,54,1717
CUST_00741,19,63.94,51,1556
CUST_00742,10,45.19,28,862
CUST_00743,9,47.69,31,431
CUST_00744,5,12.61,9,1966
CUST_00745,6,17.98,12,1219
CUST_00746,2,84.97,46,1747
CUST_00747,13,21.62,22,508
CUST_00748,6,81.41,49,446
CUST_00749,5,33.92,22,527
CUST_00750,1,40.06,30,1225
CUST_00751,6,66.76,3,874
CUST_00752,6,71.8,51,1753
CUST_00753,16,37.23,48,1628
CUST_00754,4,30.29,59,1156
CUST_00755,11,38.6,2,1162
CUST_00756,9,48.45,20,668
CUST_00757,3,62.28,52,1516
CUST_00758,19,40.11,1,846
CUST_00759,8,55.47,3,69
CUST_00760,5,80.96,0,815
CUST_00761,4,49.53,14,1038
CUST_00762,6,47.79,56,1770
CUST_00763,2,5.0,32,1235
CUST_00764,11,5.0,5,1825
CUST_00765,4,49.71,6,1083
CUST_00766,15,37.63,18,1275
CUST_00767,6,27.13,43,445
CUST_00768,17,46.09,0,1025
CUST_00769,6,38.49,38,1771
CUST_00770,19,68.19,18,1359
CUST_00771,2,42.15,44,18
CUST_00772,15,21.33,25,560
CUST_00773,11,64.75,43,1101
CUST_00774,8,34.57,11,471
CUST_00775,19,53.16,21,27
CUST_00776,13,28.06,12,559
CUST_00777,12,23.75,27,607
CUST_00778,5,42.1,13,1188
CUST_00779,6,40.32,21,457
CUST_00780,4,52.0,29,944
CUST_00781,19,33.28,43,1900
CUST_00782,1,5.0,19,1199
CUST_00783,17,29.18,43,1608
CUST_00784,12,59.85,26,983
CUST_00785,15,32.57,37,867
CUST_00786,1,33.84,58,1015
CUST_00787,14,64.66,41,28
CUST_00788,6,22.2,51,1979
CUST_00789,5,5.0,60,668
CUST_00790,11,35.98,55,825
CUST_00791,4,27.9,40,815
CUST_00792,13,15.84,33,278
CUST_00793,11,35.62,38,282
CUST_00794,3,52.29,40,1502
CUST_00795,1,39.77,56,1002
